,date_id,day,week,month,year,season,weekend,weekday,quarter,semester,holiday
444,8102013,8,2,10,2013,Autumn,Work Day,Tuesday,Q4,S2,Not Holiday
446,11092015,11,2,9,2015,Autumn,Work Day,Friday,Q3,S2,Not Holiday
447,10022016,10,2,2,2016,Winter,Work Day,Wednesday,Q1,S1,Not Holiday
448,28012013,28,5,1,2013,Winter,Work Day,Monday,Q1,S1,Not Holiday
457,19062013,19,4,6,2013,Summer,Work Day,Wednesday,Q2,S1,Not Holiday
460,23082019,23,4,8,2019,Summer,Work Day,Friday,Q3,S2,Not Holiday
461,12072016,12,3,7,2016,Summer,Work Day,Tuesday,Q3,S2,Not Holiday
462,15092017,15,3,9,2017,Autumn,Work Day,Friday,Q3,S2,Not Holiday
465,8032016,8,2,3,2016,Spring,Work Day,Tuesday,Q1,S1,Not Holiday
466,28112013,28,5,11,2013,Autumn,Work Day,Thursday,Q4,S2,Not Holiday
469,1022018,1,1,2,2018,Winter,Work Day,Thursday,Q1,S1,Not Holiday
470,20082015,20,4,8,2015,Summer,Work Day,Thursday,Q3,S2,Not Holiday
471,17062015,17,3,6,2015,Summer,Work Day,Wednesday,Q2,S1,Not Holiday
472,8102003,8,2,10,2003,Autumn,Work Day,Wednesday,Q4,S2,Not Holiday
473,8082018,8,2,8,2018,Summer,Work Day,Wednesday,Q3,S2,Not Holiday
477,19032015,19,4,3,2015,Spring,Work Day,Thursday,Q1,S1,Not Holiday
478,8052018,8,2,5,2018,Spring,Work Day,Tuesday,Q2,S1,Not Holiday
480,18052015,18,4,5,2015,Spring,Work Day,Monday,Q2,S1,Not Holiday
481,21012015,21,4,1,2015,Winter,Work Day,Wednesday,Q1,S1,Not Holiday
486,5122013,5,2,12,2013,Winter,Work Day,Thursday,Q4,S2,Not Holiday
488,1012015,1,1,1,2015,Winter,Work Day,Thursday,Q1,S1,Holiday
496,27062016,27,5,6,2016,Summer,Work Day,Monday,Q2,S1,Not Holiday
497,21102014,21,4,10,2014,Autumn,Work Day,Tuesday,Q4,S2,Not Holiday
501,7012015,7,2,1,2015,Winter,Work Day,Wednesday,Q1,S1,Not Holiday
508,13012015,13,3,1,2015,Winter,Work Day,Tuesday,Q1,S1,Not Holiday
510,24072018,24,5,7,2018,Summer,Work Day,Tuesday,Q3,S2,Not Holiday
512,29102019,29,5,10,2019,Autumn,Work Day,Tuesday,Q4,S2,Not Holiday
513,17022016,17,3,2,2016,Winter,Work Day,Wednesday,Q1,S1,Not Holiday
514,12022010,12,2,2,2010,Winter,Work Day,Friday,Q1,S1,Not Holiday
515,18092018,18,4,9,2018,Autumn,Work Day,Tuesday,Q3,S2,Not Holiday
516,12012016,12,3,1,2016,Winter,Work Day,Tuesday,Q1,S1,Not Holiday
518,18062015,18,3,6,2015,Summer,Work Day,Thursday,Q2,S1,Not Holiday
519,31122017,31,5,12,2017,Winter,Weekend,Sunday,Q4,S2,Not Holiday
527,4072015,4,1,7,2015,Summer,Weekend,Saturday,Q3,S2,Not Holiday
532,19022014,19,4,2,2014,Winter,Work Day,Wednesday,Q1,S1,Not Holiday
