,year,parish,count,property_type_category,cp
607578,2018,Reguengo Pequeno,1,Apartment,2530-694
607605,2018,Reguengo Pequeno,1,House,2530-694
607632,2018,Sobral,1,House,3880-101
607746,2018,Tires,1,House,2785-244
608032,2019,Tires,1,Apartment,2785-244
608318,2018,Venda do Pinheiro,1,Hotel/Hostel,2665-496
608563,2018,Venda do Pinheiro,1,House,2665-496
608808,2018,Vimeiro,1,House,7630-366
608865,2018,Zambujeira,2,House,7700-221
608915,2019,Amoeiras,1,House,2560-449
608916,2019,Bicesse,5,House,2645-528
609049,2019,Casal das Curtinhas,1,House,2530-564
609052,2019,Casalinhos de Alfaiata,2,House,2560-428
609149,2019,Dafundo,1,Apartment,1495-724
609204,2019,Foz do Lizandro,1,House,2655-130
609212,2019,Freixial,1,House,6230-771
609223,2019,Monte Arroio,1,House,2705-701
609224,2019,Póvoa,1,House,3850-829
609378,2019,Póvoa de Santa Iria,2,Apartment,2625-39
609688,2019,Quinta de São José,1,Apartment,2600-710
609694,2019,Quinta de São José,1,House,2600-710
609700,2019,Sassoeiros,1,Apartment,2775-530
