,year,parish,count,cp
197192,2016,Pinhal da Nazaré,1,2705-235
197223,2017,Pinhal da Nazaré,3,2705-235
197254,2018,Pinhal da Nazaré,5,2705-235
197285,2013,Seixal,1,4540-497
197456,2015,Seixal,1,4540-497
197627,2017,Seixal,2,4540-497
197798,2019,Seixal,1,4540-497
197969,2013,Casal da Serra,2,6005-261
197979,2016,Casal da Serra,2,6005-261
197989,2013,Areia Branca,1,2530-70
198031,2019,Areia Branca,1,2530-70
198073,2014,São João das Lampas,1,2705-737
198150,2015,São João das Lampas,1,2705-737
198227,2017,São João das Lampas,1,2705-737
198304,2014,Arneiro,1,3040-752
198405,2017,Arneiro,1,3040-752
198506,2019,Arneiro,1,3040-752
198607,2014,Atalaia,1,4520-804
198890,2015,Atalaia,5,4520-804
199173,2016,Atalaia,2,4520-804
199456,2017,Atalaia,1,4520-804
199739,2014,Encarnação,1,2640-217
200072,2015,Encarnação,3,2640-217
200405,2016,Encarnação,3,2640-217
200738,2017,Encarnação,6,2640-217
201071,2018,Encarnação,4,2640-217
201404,2019,Encarnação,1,2640-217
201737,2014,Belas,1,2605-198
201913,2016,Belas,2,2605-198
202089,2019,Belas,1,2605-198
202265,2014,Estoril,3,2765-190
202435,2015,Estoril,5,2765-190
202605,2016,Estoril,9,2765-190
202775,2017,Estoril,17,2765-190
202945,2018,Estoril,14,2765-190
203115,2019,Estoril,13,2765-190
203285,2014,Ulgueira,1,2705-349
203286,2015,Ulgueira,2,2705-349
203287,2014,Assafora,2,2705-495
203437,2017,Assafora,3,2705-495
203587,2018,Assafora,4,2705-495
203737,2019,Assafora,3,2705-495
203887,2014,São João do Estoril,1,2765-461
203971,2015,São João do Estoril,8,2765-461
204055,2016,São João do Estoril,3,2765-461
204139,2017,São João do Estoril,13,2765-461
204223,2018,São João do Estoril,17,2765-461
204307,2019,São João do Estoril,3,2765-461
204391,2015,Tojeira,1,4860-212
204494,2019,Tojeira,1,4860-212
204597,2015,Quinta da Marinha,3,6100-688
204642,2017,Quinta da Marinha,2,6100-688
204687,2018,Quinta da Marinha,5,6100-688
204732,2015,Vale do Paraiso,1,2050-451
204803,2015,Casais de Cabrela,1,2715-774
204814,2015,Carcavelos,7,3720-504
205012,2016,Carcavelos,7,3720-504
205210,2017,Carcavelos,10,3720-504
205408,2018,Carcavelos,7,3720-504
205606,2019,Carcavelos,3,3720-504
205804,2015,Casal Ventoso,1,2560-42
205807,2016,Casal Ventoso,2,2560-42
205810,2017,Casal Ventoso,2,2560-42
205813,2019,Casal Ventoso,1,2560-42
205816,2015,Lapas Grandes,1,2565-517
205817,2015,Monte Estoril,6,7050-670
205957,2016,Monte Estoril,3,7050-670
206097,2017,Monte Estoril,11,7050-670
206237,2018,Monte Estoril,14,7050-670
206377,2019,Monte Estoril,8,7050-670
206517,2015,Santa Cruz,1,3730-702
206981,2016,Santa Cruz,1,3730-702
207445,2017,Santa Cruz,4,3730-702
207909,2018,Santa Cruz,2,3730-702
208373,2015,Rebelva,1,2775-700
208444,2016,Rebelva,1,2775-700
208515,2017,Rebelva,2,2775-700
208586,2018,Rebelva,3,2775-700
208657,2019,Rebelva,2,2775-700
208728,2015,Amadora,1,2720-515
210782,2016,Amadora,6,2720-515
212836,2017,Amadora,9,2720-515
214890,2018,Amadora,13,2720-515
216944,2019,Amadora,9,2720-515
218998,2015,Odrinhas,1,2705-739
219039,2015,Manique de Baixo,1,2645-321
219072,2015,Fonte Boa da Brincosa,2,2655-9
219136,2016,Fonte Boa da Brincosa,3,2655-9
219200,2017,Fonte Boa da Brincosa,2,2655-9
219264,2018,Fonte Boa da Brincosa,4,2655-9
219328,2019,Fonte Boa da Brincosa,4,2655-9
219392,2015,Carnaxide,2,2790-260
219780,2017,Carnaxide,2,2790-260
220168,2018,Carnaxide,2,2790-260
220556,2019,Carnaxide,1,2790-260
220944,2015,Mafra,1,2640-431
221451,2016,Mafra,2,2640-431
221958,2017,Mafra,3,2640-431
222465,2018,Mafra,5,2640-431
222972,2019,Mafra,1,2640-431
223479,2015,Alcabideche,2,2755-17
223867,2016,Alcabideche,1,2755-17
224255,2017,Alcabideche,2,2755-17
224643,2018,Alcabideche,5,2755-17
225031,2019,Alcabideche,1,2755-17
